=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 156           | INICIANDO
CICLO 250: PC=40 | LW R2, 0(FP)         | R2 = MEM[253] = 0
    ESTADO: R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, R16=5, R17=1, GP=156, SP=253, FP=253

CICLO 251: PC=41 | SLL R18, R2, 2       | INICIANDO
CICLO 252: PC=41 | SLL R18, R2, 2       | R18 = R2 << 2 = 0 << 2 = 0
CICLO 253: PC=42 | ADDI R19, GP, 0      | INICIANDO
CICLO 254: PC=42 | ADDI R19, GP, 0      | R19 = R28(156) + 0 = 156 (era 0)
CICLO 255: PC=43 | ADD R19, R19, R18    | INICIANDO
CICLO 256: PC=43 | ADD R19, R19, R18    | R19 = R19 + R18 = 156 + 0 = 156
CICLO 257: PC=44 | LW R20, 0(R19)       | INICIANDO
CICLO 258: PC=44 | LW R20, 0(R19)       | R20 = MEM[156] = 10
CICLO 259: PC=45 | LW R15, 1(FP)        | INICIANDO
CICLO 260: PC=45 | LW R15, 1(FP)        | R15 = MEM[254] = 0
    ESTADO: R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, R16=5, R17=1, R19=156, R20=10, GP=156, SP=253, FP=253

CICLO 261: PC=46 | ADD R21, R15, R20    | INICIANDO
CICLO 262: PC=46 | ADD R21, R15, R20    | R21 = R15 + R20 = 0 + 10 = 10
CICLO 263: PC=47 | MOVE R15, R21        | INICIANDO
CICLO 264: PC=47 | MOVE R15, R21        | R15 = R21 = 10 (era 0)
CICLO 265: PC=48 | SW R15, 1(FP)        | INICIANDO
CICLO 266: PC=48 | SW R15, 1(FP)        | MEM[254] = R15 = 10
CICLO 267: PC=49 | LI R22, 1            | INICIANDO
CICLO 268: PC=49 | LI R22, 1            | R22 = 1
