=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: [3]
============================================================

CICLO   1: PC= 0 | LI GP, 136           | INICIANDO
CICLO 142: PC=14 | MOVE R1, R3          | R1 = R3 = 1 (era 0)
CICLO 143: PC=15 | ADDI SP, FP, 4       | INICIANDO
CICLO 144: PC=15 | ADDI SP, FP, 4       | R29 = R30(225) + 4 = 229 (era 221)
CICLO 145: PC=16 | SUBI R2, SP, 2       | INICIANDO
CICLO 146: PC=16 | SUBI R2, SP, 2       | R2 = R29(229) - 2 = 227 (era 0)
CICLO 147: PC=17 | LW FP, 0(R2)         | INICIANDO
CICLO 148: PC=17 | LW FP, 0(R2)         | R30 = MEM[227] = 233
CICLO 149: PC=18 | SUBI R2, SP, 1       | INICIANDO
CICLO 150: PC=18 | SUBI R2, SP, 1       | R2 = R29(229) - 1 = 228 (era 227)
    ESTADO: R1=1, R2=228, R3=1, R8=3, GP=136, SP=229, FP=233, RA=27

CICLO 151: PC=19 | LW RA, 0(R2)         | INICIANDO
CICLO 152: PC=19 | LW RA, 0(R2)         | R31 = MEM[228] = 27
CICLO 153: PC=20 | ADDI SP, SP, 8       | INICIANDO
CICLO 154: PC=20 | ADDI SP, SP, 8       | R29 = R29(237) + 8 = 237 (era 229)
CICLO 155: PC=21 | JR RA                | INICIANDO
CICLO 156: PC=27 | JR RA                | Jump to R31 = 27
CICLO 157: PC=27 | MOVE R6, R1          | INICIANDO
CICLO 158: PC=27 | MOVE R6, R1          | R6 = R1 = 1 (era 0)
CICLO 159: PC=28 | LW R2, 0(FP)         | INICIANDO
CICLO 160: PC=28 | LW R2, 0(FP)         | R2 = MEM[233] = 1
    ESTADO: R1=1, R2=1, R3=1, R6=1, R8=3, GP=136, SP=237, FP=233, RA=27

CICLO 161: PC=29 | MULT R7, R2, R6      | INICIANDO
CICLO 162: PC=29 | MULT R7, R2, R6      | R7 = R2 * R6 = 1 * 1 = 1
CICLO 163: PC=30 | MOVE R1, R7          | INICIANDO
CICLO 164: PC=30 | MOVE R1, R7          | R1 = R7 = 1 (era 1)
CICLO 165: PC=31 | ADDI SP, FP, 4       | INICIANDO
CICLO 166: PC=31 | ADDI SP, FP, 4       | R29 = R30(233) + 4 = 237 (era 237)
CICLO 167: PC=32 | SUBI R2, SP, 2       | INICIANDO
CICLO 168: PC=32 | SUBI R2, SP, 2       | R2 = R29(237) - 2 = 235 (era 1)
CICLO 169: PC=33 | LW FP, 0(R2)         | INICIANDO
CICLO 170: PC=33 | LW FP, 0(R2)         | R30 = MEM[235] = 241
    ESTADO: R1=1, R2=235, R3=1, R6=1, R7=1, R8=3, GP=136, SP=237, FP=241, RA=27

CICLO 171: PC=34 | SUBI R2, SP, 1       | INICIANDO
CICLO 172: PC=34 | SUBI R2, SP, 1       | R2 = R29(237) - 1 = 236 (era 235)
CICLO 173: PC=35 | LW RA, 0(R2)         | INICIANDO
CICLO 174: PC=35 | LW RA, 0(R2)         | R31 = MEM[236] = 27
CICLO 175: PC=36 | ADDI SP, SP, 8       | INICIANDO
CICLO 176: PC=36 | ADDI SP, SP, 8       | R29 = R29(245) + 8 = 245 (era 237)
CICLO 177: PC=37 | JR RA                | INICIANDO
CICLO 178: PC=27 | JR RA                | Jump to R31 = 27
CICLO 179: PC=27 | MOVE R6, R1          | INICIANDO
CICLO 180: PC=27 | MOVE R6, R1          | R6 = R1 = 1 (era 1)
    ESTADO: R1=1, R2=236, R3=1, R6=1, R7=1, R8=3, GP=136, SP=245, FP=241, RA=27

CICLO 181: PC=28 | LW R2, 0(FP)         | INICIANDO
CICLO 182: PC=28 | LW R2, 0(FP)         | R2 = MEM[241] = 2
CICLO 183: PC=29 | MULT R7, R2, R6      | INICIANDO
